Date : 2022-12-02 14:59:09
Directory : g:\python\SCSystem
Total : 163 files,  28967 codes, 7766 comments, 8462 blanks, all 45195 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                             | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| g:\python\SCSystem\.idea\SCSystem.iml                                | XML        |         19 |          0 |          0 |         19 |
| g:\python\SCSystem\.idea\dataSources.xml                             | XML        |         12 |          0 |          0 |         12 |
| g:\python\SCSystem\.idea\inspectionProfiles\profiles_settings.xml    | XML        |          6 |          0 |          0 |          6 |
| g:\python\SCSystem\.idea\misc.xml                                    | XML        |          4 |          0 |          0 |          4 |
| g:\python\SCSystem\.idea\modules.xml                                 | XML        |          8 |          0 |          0 |          8 |
| g:\python\SCSystem\.idea\sqldialects.xml                             | XML        |         10 |          0 |          0 |         10 |
| g:\python\SCSystem\.idea\vcs.xml                                     | XML        |          6 |          0 |          0 |          6 |
| g:\python\SCSystem\.idea\webResources.xml                            | XML        |         14 |          0 |          0 |         14 |
| g:\python\SCSystem\controler\Admin\Admin.py                          | Python     |          5 |         11 |         11 |         27 |
| g:\python\SCSystem\controler\User\__init__.py                        | Python     |          0 |          6 |          1 |          7 |
| g:\python\SCSystem\controler\User\upload.py                          | Python     |          7 |          0 |          4 |         11 |
| g:\python\SCSystem\controler\User\user.py                            | Python     |         57 |         14 |          6 |         77 |
| g:\python\SCSystem\controler\__init__.py                             | Python     |          0 |          6 |          1 |          7 |
| g:\python\SCSystem\controler\login.py                                | Python     |         53 |         17 |         12 |         82 |
| g:\python\SCSystem\main.py                                           | Python     |         10 |          6 |          3 |         19 |
| g:\python\SCSystem\models\Admin.py                                   | Python     |         10 |          8 |          2 |         20 |
| g:\python\SCSystem\models\SC.py                                      | Python     |        113 |         67 |         30 |        210 |
| g:\python\SCSystem\models\Student.py                                 | Python     |         21 |         21 |          3 |         45 |
| g:\python\SCSystem\models\TC.py                                      | Python     |         35 |         11 |          6 |         52 |
| g:\python\SCSystem\models\Teacher.py                                 | Python     |         30 |         12 |         10 |         52 |
| g:\python\SCSystem\models\User.py                                    | Python     |          9 |         18 |          8 |         35 |
| g:\python\SCSystem\models\__init__.py                                | Python     |          0 |          6 |          2 |          8 |
| g:\python\SCSystem\models\dataread\__init__.py                       | Python     |          0 |          6 |          1 |          7 |
| g:\python\SCSystem\models\dataread\datainsert.py                     | Python     |         36 |         33 |          6 |         75 |
| g:\python\SCSystem\models\dataread\read.py                           | Python     |         60 |         20 |         19 |         99 |
| g:\python\SCSystem\models\dataread\readdata.ipynb                    | JSON       |        134 |          0 |          1 |        135 |
| g:\python\SCSystem\models\dataread\sc.xlsx                           | Excel      |         75 |          0 |          0 |         75 |
| g:\python\SCSystem\models\sign.py                                    | Python     |         46 |         24 |          5 |         75 |
| g:\python\SCSystem\models\sqlconnect.py                              | Python     |          8 |          6 |          1 |         15 |
| g:\python\SCSystem\static\.package-lock.json                         | JSON       |         12 |          0 |          1 |         13 |
| g:\python\SCSystem\static\databaseInit\Sql_init.sql                  | SQL        |         90 |          0 |         47 |        137 |
| g:\python\SCSystem\static\databaseInit\Sql_student.py                | Python     |          0 |          6 |          5 |         11 |
| g:\python\SCSystem\static\databaseInit\__init__.py                   | Python     |          0 |          6 |          1 |          7 |
| g:\python\SCSystem\static\html\index.html                            | HTML       |         32 |          2 |          4 |         38 |
| g:\python\SCSystem\static\html\login.html                            | HTML       |         62 |          0 |          5 |         67 |
| g:\python\SCSystem\static\html\myclasses.html                        | HTML       |        356 |         12 |         39 |        407 |
| g:\python\SCSystem\static\html\sign_up.html                          | HTML       |         76 |          1 |          3 |         80 |
| g:\python\SCSystem\static\jquery.js                                  | JavaScript |      6,902 |      1,922 |      2,085 |     10,909 |
| g:\python\SCSystem\static\jquery\README.md                           | Markdown   |         39 |          0 |         24 |         63 |
| g:\python\SCSystem\static\jquery\bower.json                          | JSON       |         14 |          0 |          0 |         14 |
| g:\python\SCSystem\static\jquery\dist\jquery.js                      | JavaScript |      6,902 |      1,922 |      2,086 |     10,910 |
| g:\python\SCSystem\static\jquery\dist\jquery.min.js                  | JavaScript |          1 |          1 |          1 |          3 |
| g:\python\SCSystem\static\jquery\dist\jquery.slim.js                 | JavaScript |      5,516 |      1,593 |      1,702 |      8,811 |
| g:\python\SCSystem\static\jquery\dist\jquery.slim.min.js             | JavaScript |          1 |          1 |          1 |          3 |
| g:\python\SCSystem\static\jquery\external\sizzle\dist\sizzle.js      | JavaScript |      1,528 |        529 |        422 |      2,479 |
| g:\python\SCSystem\static\jquery\external\sizzle\dist\sizzle.min.js  | JavaScript |          1 |          2 |          0 |          3 |
| g:\python\SCSystem\static\jquery\package.json                        | JSON       |        117 |          0 |          1 |        118 |
| g:\python\SCSystem\static\jquery\src\ajax.js                         | JavaScript |        524 |        181 |        172 |        877 |
| g:\python\SCSystem\static\jquery\src\ajax\jsonp.js                   | JavaScript |         66 |         16 |         22 |        104 |
| g:\python\SCSystem\static\jquery\src\ajax\load.js                    | JavaScript |         45 |         17 |         16 |         78 |
| g:\python\SCSystem\static\jquery\src\ajax\script.js                  | JavaScript |         60 |          6 |          9 |         75 |
| g:\python\SCSystem\static\jquery\src\ajax\var\location.js            | JavaScript |          4 |          0 |          2 |          6 |
| g:\python\SCSystem\static\jquery\src\ajax\var\nonce.js               | JavaScript |          4 |          0 |          2 |          6 |
| g:\python\SCSystem\static\jquery\src\ajax\var\rquery.js              | JavaScript |          4 |          0 |          2 |          6 |
| g:\python\SCSystem\static\jquery\src\ajax\xhr.js                     | JavaScript |        110 |         32 |         29 |        171 |
| g:\python\SCSystem\static\jquery\src\attributes.js                   | JavaScript |         10 |          1 |          3 |         14 |
| g:\python\SCSystem\static\jquery\src\attributes\attr.js              | JavaScript |        106 |         10 |         26 |        142 |
| g:\python\SCSystem\static\jquery\src\attributes\classes.js           | JavaScript |        137 |         12 |         36 |        185 |
| g:\python\SCSystem\static\jquery\src\attributes\prop.js              | JavaScript |        100 |         16 |         27 |        143 |
| g:\python\SCSystem\static\jquery\src\attributes\support.js           | JavaScript |         19 |          6 |          9 |         34 |
| g:\python\SCSystem\static\jquery\src\attributes\val.js               | JavaScript |        133 |         19 |         40 |        192 |
| g:\python\SCSystem\static\jquery\src\callbacks.js                    | JavaScript |        139 |         59 |         39 |        237 |
| g:\python\SCSystem\static\jquery\src\core.js                         | JavaScript |        259 |         58 |         84 |        401 |
| g:\python\SCSystem\static\jquery\src\core\DOMEval.js                 | JavaScript |         27 |         10 |          7 |         44 |
| g:\python\SCSystem\static\jquery\src\core\access.js                  | JavaScript |         51 |          7 |         15 |         73 |
| g:\python\SCSystem\static\jquery\src\core\camelCase.js               | JavaScript |         12 |          5 |          7 |         24 |
| g:\python\SCSystem\static\jquery\src\core\init.js                    | JavaScript |         70 |         29 |         31 |        130 |
| g:\python\SCSystem\static\jquery\src\core\isAttached.js              | JavaScript |         18 |          5 |          4 |         27 |
| g:\python\SCSystem\static\jquery\src\core\nodeName.js                | JavaScript |          7 |          0 |          7 |         14 |
| g:\python\SCSystem\static\jquery\src\core\parseHTML.js               | JavaScript |         40 |         11 |         15 |         66 |
| g:\python\SCSystem\static\jquery\src\core\parseXML.js                | JavaScript |         26 |          3 |          7 |         36 |
| g:\python\SCSystem\static\jquery\src\core\ready-no-deferred.js       | JavaScript |         56 |         19 |         23 |         98 |
| g:\python\SCSystem\static\jquery\src\core\ready.js                   | JavaScript |         44 |         20 |         23 |         87 |
| g:\python\SCSystem\static\jquery\src\core\readyException.js          | JavaScript |         10 |          0 |          4 |         14 |
| g:\python\SCSystem\static\jquery\src\core\stripAndCollapse.js        | JavaScript |         10 |          2 |          3 |         15 |
| g:\python\SCSystem\static\jquery\src\core\support.js                 | JavaScript |         12 |          5 |          4 |         21 |
| g:\python\SCSystem\static\jquery\src\core\toType.js                  | JavaScript |         15 |          1 |          5 |         21 |
| g:\python\SCSystem\static\jquery\src\core\var\rsingleTag.js          | JavaScript |          4 |          2 |          2 |          8 |
| g:\python\SCSystem\static\jquery\src\css.js                          | JavaScript |        313 |         92 |         91 |        496 |
| g:\python\SCSystem\static\jquery\src\css\addGetHookIf.js             | JavaScript |         15 |          4 |          8 |         27 |
| g:\python\SCSystem\static\jquery\src\css\adjustCSS.js                | JavaScript |         50 |          9 |         16 |         75 |
| g:\python\SCSystem\static\jquery\src\css\curCSS.js                   | JavaScript |         42 |         23 |         16 |         81 |
| g:\python\SCSystem\static\jquery\src\css\finalPropName.js            | JavaScript |         30 |          3 |         10 |         43 |
| g:\python\SCSystem\static\jquery\src\css\hiddenVisibleSelectors.js   | JavaScript |         12 |          0 |          4 |         16 |
| g:\python\SCSystem\static\jquery\src\css\showHide.js                 | JavaScript |         81 |          6 |         19 |        106 |
| g:\python\SCSystem\static\jquery\src\css\support.js                  | JavaScript |         91 |         35 |         27 |        153 |
| g:\python\SCSystem\static\jquery\src\css\var\cssExpand.js            | JavaScript |          4 |          0 |          2 |          6 |
| g:\python\SCSystem\static\jquery\src\css\var\getStyles.js            | JavaScript |         10 |          3 |          5 |         18 |
| g:\python\SCSystem\static\jquery\src\css\var\isHiddenWithinTree.js   | JavaScript |         13 |         15 |          7 |         35 |
| g:\python\SCSystem\static\jquery\src\css\var\rboxStyle.js            | JavaScript |          6 |          0 |          2 |          8 |
| g:\python\SCSystem\static\jquery\src\css\var\rcustomProp.js          | JavaScript |          4 |          0 |          4 |          8 |
| g:\python\SCSystem\static\jquery\src\css\var\rnumnonpx.js            | JavaScript |          6 |          0 |          2 |          8 |
| g:\python\SCSystem\static\jquery\src\css\var\swap.js                 | JavaScript |         16 |          3 |          8 |         27 |
| g:\python\SCSystem\static\jquery\src\data.js                         | JavaScript |        116 |         31 |         34 |        181 |
| g:\python\SCSystem\static\jquery\src\data\Data.js                    | JavaScript |         89 |         44 |         30 |        163 |
| g:\python\SCSystem\static\jquery\src\data\var\acceptData.js          | JavaScript |          6 |          9 |          5 |         20 |
| g:\python\SCSystem\static\jquery\src\data\var\dataPriv.js            | JavaScript |          6 |          0 |          2 |          8 |
| g:\python\SCSystem\static\jquery\src\data\var\dataUser.js            | JavaScript |          6 |          0 |          2 |          8 |
| g:\python\SCSystem\static\jquery\src\deferred.js                     | JavaScript |        241 |         90 |         69 |        400 |
| g:\python\SCSystem\static\jquery\src\deferred\exceptionHook.js       | JavaScript |         12 |          4 |          6 |         22 |
| g:\python\SCSystem\static\jquery\src\deprecated.js                   | JavaScript |         56 |         18 |         16 |         90 |
| g:\python\SCSystem\static\jquery\src\deprecated\ajax-event-alias.js  | JavaScript |         19 |          0 |          4 |         23 |
| g:\python\SCSystem\static\jquery\src\deprecated\event.js             | JavaScript |         38 |          2 |         11 |         51 |
| g:\python\SCSystem\static\jquery\src\dimensions.js                   | JavaScript |         40 |          8 |         13 |         61 |
| g:\python\SCSystem\static\jquery\src\effects.js                      | JavaScript |        535 |         60 |        108 |        703 |
| g:\python\SCSystem\static\jquery\src\effects\Tween.js                | JavaScript |         93 |         13 |         20 |        126 |
| g:\python\SCSystem\static\jquery\src\effects\animatedSelector.js     | JavaScript |         12 |          0 |          4 |         16 |
| g:\python\SCSystem\static\jquery\src\event.js                        | JavaScript |        568 |        152 |        155 |        875 |
| g:\python\SCSystem\static\jquery\src\event\focusin.js                | JavaScript |         37 |         11 |         11 |         59 |
| g:\python\SCSystem\static\jquery\src\event\support.js                | JavaScript |          7 |          0 |          5 |         12 |
| g:\python\SCSystem\static\jquery\src\event\trigger.js                | JavaScript |        139 |         21 |         40 |        200 |
| g:\python\SCSystem\static\jquery\src\exports\amd.js                  | JavaScript |         10 |         11 |          6 |         27 |
| g:\python\SCSystem\static\jquery\src\exports\global.js               | JavaScript |         20 |          5 |         10 |         35 |
| g:\python\SCSystem\static\jquery\src\jquery.js                       | JavaScript |         38 |          0 |          4 |         42 |
| g:\python\SCSystem\static\jquery\src\manipulation.js                 | JavaScript |        349 |         47 |         92 |        488 |
| g:\python\SCSystem\static\jquery\src\manipulation\_evalUrl.js        | JavaScript |         22 |          4 |          7 |         33 |
| g:\python\SCSystem\static\jquery\src\manipulation\buildFragment.js   | JavaScript |         67 |         16 |         24 |        107 |
| g:\python\SCSystem\static\jquery\src\manipulation\getAll.js          | JavaScript |         21 |          2 |         10 |         33 |
| g:\python\SCSystem\static\jquery\src\manipulation\setGlobalEval.js   | JavaScript |         17 |          1 |          5 |         23 |
| g:\python\SCSystem\static\jquery\src\manipulation\support.js         | JavaScript |         21 |         11 |         10 |         42 |
| g:\python\SCSystem\static\jquery\src\manipulation\var\rscriptType.js | JavaScript |          4 |          0 |          2 |          6 |
| g:\python\SCSystem\static\jquery\src\manipulation\var\rtagName.js    | JavaScript |          4 |          3 |          2 |          9 |
| g:\python\SCSystem\static\jquery\src\manipulation\wrapMap.js         | JavaScript |         18 |          5 |          8 |         31 |
| g:\python\SCSystem\static\jquery\src\offset.js                       | JavaScript |        155 |         38 |         40 |        233 |
| g:\python\SCSystem\static\jquery\src\queue.js                        | JavaScript |        114 |          9 |         23 |        146 |
| g:\python\SCSystem\static\jquery\src\queue\delay.js                  | JavaScript |         18 |          1 |          5 |         24 |
| g:\python\SCSystem\static\jquery\src\selector-native.js              | JavaScript |        156 |         47 |         39 |        242 |
| g:\python\SCSystem\static\jquery\src\selector-sizzle.js              | JavaScript |         14 |          1 |          5 |         20 |
| g:\python\SCSystem\static\jquery\src\selector.js                     | JavaScript |          3 |          0 |          1 |          4 |
| g:\python\SCSystem\static\jquery\src\serialize.js                    | JavaScript |         91 |         15 |         29 |        135 |
| g:\python\SCSystem\static\jquery\src\traversing.js                   | JavaScript |        149 |         17 |         33 |        199 |
| g:\python\SCSystem\static\jquery\src\traversing\findFilter.js        | JavaScript |         75 |          6 |         17 |         98 |
| g:\python\SCSystem\static\jquery\src\traversing\var\dir.js           | JavaScript |         18 |          0 |          5 |         23 |
| g:\python\SCSystem\static\jquery\src\traversing\var\rneedsContext.js | JavaScript |          7 |          0 |          2 |          9 |
| g:\python\SCSystem\static\jquery\src\traversing\var\siblings.js      | JavaScript |         12 |          0 |          6 |         18 |
| g:\python\SCSystem\static\jquery\src\var\ObjectFunctionString.js     | JavaScript |          6 |          0 |          2 |          8 |
| g:\python\SCSystem\static\jquery\src\var\arr.js                      | JavaScript |          4 |          0 |          2 |          6 |
| g:\python\SCSystem\static\jquery\src\var\class2type.js               | JavaScript |          4 |          1 |          2 |          7 |
| g:\python\SCSystem\static\jquery\src\var\document.js                 | JavaScript |          4 |          0 |          2 |          6 |
| g:\python\SCSystem\static\jquery\src\var\documentElement.js          | JavaScript |          6 |          0 |          2 |          8 |
| g:\python\SCSystem\static\jquery\src\var\flat.js                     | JavaScript |         10 |          3 |          4 |         17 |
| g:\python\SCSystem\static\jquery\src\var\fnToString.js               | JavaScript |          6 |          0 |          2 |          8 |
| g:\python\SCSystem\static\jquery\src\var\getProto.js                 | JavaScript |          4 |          0 |          2 |          6 |
| g:\python\SCSystem\static\jquery\src\var\hasOwn.js                   | JavaScript |          6 |          0 |          2 |          8 |
| g:\python\SCSystem\static\jquery\src\var\indexOf.js                  | JavaScript |          6 |          0 |          2 |          8 |
| g:\python\SCSystem\static\jquery\src\var\isFunction.js               | JavaScript |          7 |          7 |          4 |         18 |
| g:\python\SCSystem\static\jquery\src\var\isWindow.js                 | JavaScript |          6 |          0 |          3 |          9 |
| g:\python\SCSystem\static\jquery\src\var\pnum.js                     | JavaScript |          4 |          0 |          2 |          6 |
| g:\python\SCSystem\static\jquery\src\var\push.js                     | JavaScript |          6 |          0 |          2 |          8 |
| g:\python\SCSystem\static\jquery\src\var\rcheckableType.js           | JavaScript |          4 |          0 |          2 |          6 |
| g:\python\SCSystem\static\jquery\src\var\rcssNum.js                  | JavaScript |          6 |          0 |          4 |         10 |
| g:\python\SCSystem\static\jquery\src\var\rnothtmlwhite.js            | JavaScript |          4 |          3 |          2 |          9 |
| g:\python\SCSystem\static\jquery\src\var\rtrimCSS.js                 | JavaScript |          9 |          0 |          4 |         13 |
| g:\python\SCSystem\static\jquery\src\var\slice.js                    | JavaScript |          6 |          0 |          2 |          8 |
| g:\python\SCSystem\static\jquery\src\var\support.js                  | JavaScript |          4 |          1 |          2 |          7 |
| g:\python\SCSystem\static\jquery\src\var\toString.js                 | JavaScript |          6 |          0 |          2 |          8 |
| g:\python\SCSystem\static\jquery\src\var\whitespace.js               | JavaScript |          4 |          1 |          4 |          9 |
| g:\python\SCSystem\static\jquery\src\wrap.js                         | JavaScript |         60 |          1 |         18 |         79 |
| g:\python\SCSystem\static\package-lock.json                          | JSON       |         17 |          0 |          1 |         18 |
| g:\python\SCSystem\static\package.json                               | JSON       |          5 |          0 |          1 |          6 |
| g:\python\SCSystem\test\__init__.py                                  | Python     |          0 |          6 |          1 |          7 |
| g:\python\SCSystem\test\jsontest.py                                  | Python     |          4 |          6 |          4 |         14 |
| g:\python\SCSystem\test\sign_up.html                                 | HTML       |         84 |          1 |          7 |         92 |
| Total                                                                |            |     28,967 |      7,766 |      8,462 |     45,195 |
+----------------------------------------------------------------------+------------+------------+------------+------------+------------+
